ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,T-1_Recognition,T-1_Likert_1,T-2_Recognition,T-2_Likert_1,T-3_Recognition,T-3_Likert_1,T-4_Recognition,T-4_Likert_1,UT-1_Recognition,UT-1_Likert_1,UT-2_Recognition,UT-2_Likert_1,UT-3_Recognition,UT-3_Likert_1,UT-4_Recognition,UT-4_Likert_1,T-1c_Likert_1,Correct_Mvt_T-1,T-2c_Likert_1,Correct_Mvt_T-2,T-3c_Likert_1,Correct_Mvt_T-3,T-4c_Likert_1,Correct_Mvt_T-4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",Average Recognition,Average Confidence
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_28NBrw98RDs3haw,25/06/2020 17:58,25/06/2020 15:42,25/06/2020 17:58,1,active - RS-1,1,7,2,5,1,3,2,5,2,2,1,4,1,6,2,6,2,1,5,1,2,2,1,3,1.5,4.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ZDn1VuLBdFmjgIx,20/07/2020 17:04,20/07/2020 16:33,20/07/2020 17:04,1,active - RS-1,1,2,1,3,2,3,1,3,2,2,2,3,1,2,2,3,2,2,4,2,3,3,4,1,1.5,2.625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2Yu1it6t5FYb3m9,15/07/2020 22:18,15/07/2020 18:18,15/07/2020 18:18,0,active - RS-2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Ii4mfRksVkixyW,29/07/2020 17:23,29/07/2020 16:54,29/07/2020 17:23,1,passive - RS-2,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,1,3,2,1,1,2,1.5,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_XnNAe9tcCdwoHM5,16/07/2020 9:31,16/07/2020 9:04,16/07/2020 9:31,1,passive - RS-3,2,5,2,3,1,4,2,5,2,5,1,4,1,4,1,4,1,2,2,2,3,2,2,2,1.5,4.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2zpPfsCIMEoNwjg,26/06/2020 19:06,26/06/2020 15:06,26/06/2020 15:06,0,in place. - SLS-1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_29hrlx0TPk5f0Hc,16/07/2020 10:11,16/07/2020 9:36,16/07/2020 10:11,1,active - SLS-1,2,3,1,5,1,3,1,5,2,5,2,5,1,2,1,3,6,1,4,2,5,2,3,2,1.375,3.875
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2CwFGXN6J5xUJbH,20/07/2020 12:13,20/07/2020 11:43,20/07/2020 12:13,1,passive - SLS-2,1,7,1,7,1,7,1,7,2,4,2,4,2,4,2,4,7,1,6,1,7,1,7,1,1.5,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QcPqGynzOLEdJH,30/07/2020 19:51,30/07/2020 19:22,30/07/2020 19:51,1,active - SLS-2,2,5,1,5,2,3,1,4,1,2,2,6,1,6,2,5,3,2,1,1,3,2,2,2,1.5,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2zG6uHLiY6LiFWx,04/08/2020 16:30,04/08/2020 16:05,04/08/2020 16:30,1,active - SLS-3,1,5,1,4,1,2,1,5,2,7,2,7,2,7,1,3,1,2,3,3,7,1,7,1,1.375,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overall average recognition,1.46875,4.0625