ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,Dance_Forms,Dance_Details_1_1,Dance_Details_1_2,Dance_Details_1_4,Dance_Details_2_1,Dance_Details_2_2,Dance_Details_2_4,Dance_Details_3_1,Dance_Details_3_2,Dance_Details_3_4,Dance_Details_4_1,Dance_Details_4_2,Dance_Details_4_4,Dance_Details_5_1,Dance_Details_5_2,Dance_Details_5_4,Dance_Details_6_1,Dance_Details_6_2,Dance_Details_6_4,Dance_Details_7_1,Dance_Details_7_2,Dance_Details_7_4,Dance_Details_8_1,Dance_Details_8_2,Dance_Details_8_4,Dance_Details_9_1,Dance_Details_9_2,Dance_Details_9_4,Dance_Details_10_1,Dance_Details_10_2,Dance_Details_10_4,Dance_Details_11_1,Dance_Details_11_2,Dance_Details_11_4,Dance_Details_12_1,Dance_Details_12_2,Dance_Details_12_4,Dance_Details_13_1,Dance_Details_13_2,Dance_Details_13_4,Dance_Details_14_1,Dance_Details_14_2,Dance_Details_14_4,Dance_Details_15_1,Dance_Details_15_2,Dance_Details_15_4,Dance_Details_16_1,Dance_Details_16_2,Dance_Details_16_4,Dance_Details_17_1,Dance_Details_17_2,Dance_Details_17_4,Dance_Details_18_1,Dance_Details_18_2,Dance_Details_18_4,Dance_Details_19_1,Dance_Details_19_2,Dance_Details_19_4,Dance_Details_16_TEXT,Dance_Details_17_TEXT,Dance_Details_18_TEXT,Dance_Details_19_TEXT
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"In which forms of dance have you been formally trained?
We define ""formal training"" as taking an official class with a teacher on a regular basis, or intensive personal experience. - Selected Choice","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal dance training. - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal dance training. - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - I have received no formal dance training. - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballet - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballet - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballet - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballroom - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballroom - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Ballroom - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Belly Dancing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Belly Dancing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Belly Dancing - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Bhangra - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Bhangra - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Bhangra - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Folk - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Folk - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Folk - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Hip-hop - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Hip-hop - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Hip-hop - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Jazz - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Jazz - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Jazz - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Modern - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Modern - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Modern - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Pop - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Pop - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Pop - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Salsa - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Salsa - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Salsa - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Swing - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Swing - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Swing - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Square - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Square - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Square - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tango - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tango - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tango - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tap - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tap - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Tap - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Experience (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - How recent? (years)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Expertise Rating (0 to 6)","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text","In the first column, please write how long you’ve engaged in formal training in each of the activities you selected.
 In the second column, please write how recent your training experience was. If you're currently training, please write ""0"".


In the third column, please rate your level of expertise on a scale of 0 to 6 in each of the activities you checked (0 = novice, 1 = beginner, 2 = advanced beginner, 3 = beginner intermediate, 4 = advanced intermediate, 5 = advanced, 6 = expert). - Other: - Text"
R_28NBrw98RDs3haw,2020-06-25 17:58:20,2020-06-25 15:42:02,2020-06-25 17:58:19,1,active - RS-1,"5,9",,,,,,,,,,,,,2,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_ZDn1VuLBdFmjgIx,2020-07-20 17:04:34,2020-07-20 16:33:18,2020-07-20 17:04:34,1,active - RS-1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,4,,,,,,,,,,,,,
R_2Yu1it6t5FYb3m9,2020-07-15 22:18:33,2020-07-15 18:18:17,2020-07-15 18:18:25,0,active - RS-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Ii4mfRksVkixyW,2020-07-29 17:23:11,2020-07-29 16:54:59,2020-07-29 17:23:11,1,passive - RS-2,"8,9,15",,,,,,,,,,,,,,,,,,,,,,4,10,1,3,10,1,,,,,,,,,,,,,,,,4,10,1,,,,,,,,,,,,,,,,
R_XnNAe9tcCdwoHM5,2020-07-16 09:31:39,2020-07-16 09:04:30,2020-07-16 09:31:39,1,passive - RS-3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_2zpPfsCIMEoNwjg,2020-06-26 19:06:22,2020-06-26 15:06:15,2020-06-26 15:06:16,0,passive - SLS-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_29hrlx0TPk5f0Hc,2020-07-16 10:11:31,2020-07-16 09:36:05,2020-07-16 10:11:30,1,active - SLS-1,"2,7,8,9,15",,,,7,4,4,,,,,,,,,,,,,4,1,3,12,0,6,4,1,4,,,,,,,,,,,,,,,,1,6,1,,,,,,,,,,,,,,,,
R_2CwFGXN6J5xUJbH,2020-07-20 12:13:59,2020-07-20 11:43:16,2020-07-20 12:13:59,1,passive - SLS-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1QcPqGynzOLEdJH,2020-07-30 19:51:21,2020-07-30 19:22:56,2020-07-30 19:51:21,1,active - SLS-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2zG6uHLiY6LiFWx,2020-08-04 16:30:43,2020-08-04 16:05:30,2020-08-04 16:30:43,1,active - SLS-3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,