ResponseId,Finished,Survey,Statistical Organization,Condition,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores
R_3g1TPcfJjkHUHxD,1,RS-1,0,0,2,6,2,2,2,5,2,3,1,4,1,3,1,4,2,5,3,2,3,2,3,2,3,1,7
R_1pldJdcEsu7L2J0,1,RS-1,0,0,2,2,1,1,2,2,1,2,2,1,1,3,2,2,2,2,2,2,3,1,3,1,1,1,5
R_1r8q2WcV20ldRRJ,1,RS-1,0,0,2,2,1,2,1,5,1,2,2,5,2,6,1,3,2,5,3,3,3,2,2,2,3,2,9
R_2CleyaFI8j68tvi,1,RS-1,0,0,1,6,2,3,2,5,1,4,2,5,2,5,1,4,2,5,2,2,3,2,2,1,3,1,6
R_9XYPYREeHHivfvH,1,RS-1,0,0,2,7,1,6,1,6,1,3,2,5,2,2,1,6,1,6,6,2,2,1,6,2,6,2,7
R_2v0xgravfprSyZI,1,RS-2,0,0,2,5,2,5,1,5,1,5,2,4,1,5,1,5,2,4,4,2,3,1,3,2,3,2,7
R_V1OHar3ORQoKTw5,1,RS-2,0,0,1,5,2,5,1,4,2,2,2,6,1,3,1,4,2,5,4,2,5,1,3,3,4,2,8
R_2S8JhegbZRWARIv,1,RS-2,0,0,1,3,2,1,2,6,2,2,1,5,2,5,1,3,2,3,5,2,1,2,1,2,3,2,8
R_2DYwc2acZoiKh3s,1,RS-2,0,0,2,3,2,3,2,3,1,4,1,5,2,2,2,3,1,5,3,2,3,2,4,2,4,1,7
R_3Pvj8Q6KKvHXX4l,1,RS-3,0,0,1,2,1,5,1,1,1,1,2,1,2,1,2,2,2,3,2,2,4,1,3,2,1,1,6
R_3ekk2Bu9KoVEJPb,1,RS-3,0,0,2,3,1,4,2,6,1,3,1,6,1,7,1,5,2,5,3,2,4,1,5,2,2,2,7
R_1nZvHT20QlYVl4Q,1,RS-3,0,0,1,3,2,6,1,3,1,5,1,6,2,4,1,4,2,5,6,1,7,1,4,1,2,2,5
R_1EjsU2bOILm1E5T,1,RS-3,0,0,2,5,2,5,1,6,1,2,1,3,2,5,1,7,2,5,5,2,5,1,3,2,6,1,6
R_3DbaNhhBNLLYEWM,0,RS-1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1omYuTMtnUnuTaq,0,RS-1,0,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,2,2,,,,,1,,,,0
R_21HZDFVEAo8wjmQ,1,RS-1,0,2,2,2,1,2,2,2,1,6,2,2,1,2,1,2,2,3,5,1,2,3,3,2,2,1,7
R_3PRL47a08LkcgCX,1,RS-1,0,2,2,6,2,7,1,5,1,3,2,3,1,7,2,5,1,4,7,2,6,1,3,2,6,1,6
R_1i86IcODbMOl1la,0,RS-2,0,2,1,5,2,6,2,2,2,5,2,3,1,2,2,5,2,3,2,2,1,2,2,2,,,6
R_Tdx8sG0Howph5sd,1,RS-2,0,2,1,4,2,3,2,3,2,3,1,5,1,5,1,2,2,5,4,2,4,3,3,1,3,2,8
R_2dAVdU7Nms7nUmG,1,RS-2,0,2,2,5,1,6,2,4,1,5,1,5,1,6,1,3,2,5,3,1,4,1,5,2,5,1,5
R_2vjiW0FSngfhj5d,1,RS-2,0,2,2,4,1,5,2,3,1,5,1,5,1,6,2,5,1,3,4,2,3,1,3,1,3,2,6
R_T1Vt3EwMDgAgcMx,1,RS-3,0,2,1,3,2,5,2,6,2,3,2,5,1,5,1,3,1,5,3,2,2,2,2,2,5,2,8
R_3qVUxZ3dFnQgoGA,1,RS-3,0,2,1,5,1,4,2,3,1,4,2,4,2,3,2,6,1,4,5,1,6,1,4,1,5,2,5
R_2OIu1IVmxzZpS2V,1,RS-3,0,2,2,5,2,5,1,5,2,4,2,6,1,6,2,6,2,2,4,2,4,2,5,3,5,2,9
R_uqsAXYlwGWhSiHv,1,RS-3,0,2,2,3,2,4,1,4,1,4,1,3,2,3,2,3,2,4,2,2,3,2,4,2,2,2,8
R_1roUDxtrbunbHef,1,RS-3,0,2,2,3,1,2,1,3,1,3,2,6,2,2,1,4,1,3,3,2,2,2,3,2,3,2,8
R_1g2zd7zZuVlr0Dq,1,RS-1,0,1,2,1,1,2,1,2,2,3,2,2,2,2,2,1,1,2,4,2,1,2,3,2,2,2,8
R_3Hp2ipKsSiBvcoa,1,RS-1,0,1,1,2,1,1,1,3,2,4,2,2,1,2,2,1,1,3,1,2,1,2,1,2,1,2,8
R_2CWDqbCF4i98RT1,1,RS-1,0,1,1,3,1,3,2,3,2,3,2,3,1,3,2,6,2,4,5,1,4,2,2,2,5,2,7
R_2QSQMLCoqAbJ4Uy,1,RS-1,0,1,1,5,2,5,1,3,2,6,1,5,1,5,1,4,2,6,4,2,3,2,4,1,4,2,7
R_t07N6Lfvw33eA8h,1,RS-2,0,1,2,5,1,3,1,5,1,3,1,5,1,2,2,3,2,5,2,1,3,2,5,1,5,3,7
R_2bJWBEMPtSeRnLf,0,RS-2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_YQDCfe7jPex8XWF,1,RS-2,0,1,1,5,2,5,1,3,1,5,2,3,1,4,2,4,1,3,2,1,4,3,3,1,5,3,8
R_3lp76hgXxNis0LL,1,RS-2,0,1,2,1,2,2,1,2,1,5,1,3,1,3,2,2,1,3,2,2,2,2,1,2,1,2,8
R_31iwXySSp82yTYk,1,RS-2,0,1,1,4,2,4,2,5,2,5,1,5,2,5,1,4,1,4,4,2,6,1,3,3,5,1,7
R_1gUsFdfe02quEcu,1,RS-3,0,1,2,3,1,7,2,2,2,5,2,4,1,6,1,6,1,4,3,2,5,1,3,2,5,2,7
R_DdvG8NXhELcphLP,1,RS-3,0,1,2,3,2,5,2,5,2,2,1,5,1,4,2,4,1,4,3,1,4,1,5,1,4,2,5
R_1MVWY5oM3zBrCoA,0,RS-3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_1opw5pnx0TGxOuo,0,RS-3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
R_3g7TqAJCZNbZ8JI,0,RS-3,0,1,,,,,,,2,2,2,4,1,5,,,2,4,,,,,,,,,
R_xFQyjJDDpTHWHx7,1,SLS-1,1,0,1,3,2,1,2,1,1,2,2,3,2,1,2,5,1,2,3,1,2,1,2,2,2,2,6
R_a5EQ9M5ffYQuGjv,1,SLS-1,1,0,1,7,1,7,1,7,1,7,2,7,2,7,2,7,2,7,7,1,7,1,7,2,7,1,5
R_CjljhdowAYE5QQN,1,SLS-1,1,0,1,2,1,5,2,2,1,5,2,6,2,5,2,7,2,6,5,2,3,2,3,2,2,2,8
R_2wFg7Miy8OTjtaT,1,SLS-1,1,0,1,3,2,5,1,5,2,3,2,6,1,5,2,6,1,7,6,1,5,2,3,1,5,3,7
R_2z8trZuMtIgGLUg,1,SLS-2,1,0,2,5,1,6,1,4,2,2,1,3,2,3,2,4,2,7,3,2,3,1,3,1,3,3,7
R_1OvO6Ky2QNIjlsr,0,SLS-2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_9mJ4INQ5YiFMAPT,1,SLS-2,1,0,1,2,1,5,1,2,1,6,2,2,2,7,1,5,2,3,3,1,3,3,2,2,5,1,7
R_eJQhbWSME90sW6l,1,SLS-2,1,0,2,4,1,7,2,5,1,5,2,7,2,5,2,2,2,6,2,2,6,1,5,1,4,1,5
R_2TS04vuRri2Tzy3,0,SLS-2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
R_eWFeakVIjkmlzgd,1,SLS-2,1,0,1,6,2,5,2,6,1,5,1,5,1,6,2,5,1,3,6,1,3,1,2,1,5,2,5
R_z20MsvOUuDVL82t,1,SLS-3,1,0,1,7,2,3,1,4,2,5,2,3,2,4,1,5,2,5,5,2,3,2,3,2,3,3,9
R_3NIJpziW517QCZL,1,SLS-3,1,0,1,5,1,1,1,2,1,3,1,3,2,3,2,2,2,4,4,1,4,1,4,1,4,1,4
R_vYs6JfFPEMZX3kl,0,SLS-3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0
R_30ktXzc2zPOw4cC,1,SLS-3,1,0,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,3,2,3,1,4,1,5
R_1pGvCqnx5M2GLyT,1,SLS-3,1,0,1,3,1,3,2,1,1,2,2,1,2,1,2,1,1,3,1,1,1,2,1,2,7,1,6
R_Y0lC2bURNKQ3rsl,1,SLS-3,1,0,1,3,2,3,1,5,1,5,2,6,2,6,2,6,1,3,6,1,5,2,6,1,3,3,7
R_3fDWGTsvLeNd7QW,1,SLS-1,1,2,1,5,1,5,2,5,2,6,1,5,2,3,1,7,2,5,5,1,5,1,5,2,5,2,6
R_2CWGbaGbOXGwRYa,1,SLS-1,1,2,2,6,2,3,1,5,1,6,1,6,1,4,2,7,2,6,6,3,4,2,3,2,4,1,8
R_3Kvahc6B8d3OFpq,1,SLS-1,1,2,1,6,2,5,2,3,2,3,2,5,1,6,2,7,1,2,5,2,1,2,2,2,5,3,9
R_yKEZGkuEZrDu6VH,0,SLS-2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,
R_1CfMMUjm0Ry4mzm,1,SLS-2,1,2,2,4,2,2,1,5,1,5,2,6,2,6,1,3,2,5,3,2,3,2,1,1,2,1,6
R_1CIrdZ9udnvy2Dm,1,SLS-2,1,2,1,4,2,6,2,3,1,5,2,4,1,5,1,4,2,5,5,1,3,2,4,1,5,1,5
R_1jdjzXM6TTxWU15,0,SLS-2,1,2,,,,,,,1,4,1,3,,,,,,,,,,,,,,,0
R_2ZBtzm0XhlTomfi,1,SLS-3,1,2,1,5,2,7,2,6,2,6,1,7,1,3,2,5,1,5,6,3,6,1,3,2,5,1,7
R_p3n0HMAnlWVmkbn,1,SLS-3,1,2,1,6,2,5,1,4,2,3,2,1,2,6,2,1,2,3,6,1,5,1,3,1,5,1,4
R_3r0UScEoISswx1u,1,SLS-3,1,2,1,7,1,4,2,2,2,4,2,6,2,3,1,3,1,6,1,2,3,1,4,2,5,1,6
R_3il2hAL3YJMRHuj,1,SLS-3,1,2,2,2,2,7,2,4,1,5,1,3,2,5,2,6,1,3,3,2,3,1,5,1,5,1,5
R_2sXc8GNw7pxVp8Z,1,SLS-1,1,1,1,4,1,5,1,5,2,3,1,3,2,5,2,3,1,3,5,1,4,1,4,2,3,2,6
R_1f8XUuPuAijfhk6,1,SLS-1,1,1,2,5,1,7,1,4,2,5,2,7,1,4,2,7,2,6,4,1,6,1,5,2,4,2,6
R_1LZLbngajm9nA2t,1,SLS-1,1,1,1,7,1,7,1,5,2,5,2,7,2,7,2,7,2,3,7,1,5,1,5,1,5,2,5
R_ey5KBdRc5RLiFs5,1,SLS-1,1,1,1,2,1,2,1,5,2,3,2,5,2,5,1,3,1,3,3,1,3,2,3,1,5,2,6
R_1lmnsX6B7rrWarZ,1,SLS-1,1,1,1,4,2,5,1,2,1,3,2,2,2,3,2,6,1,6,5,3,5,1,3,2,5,3,9
R_2tMqFsArs7QaL6s,1,SLS-2,1,1,1,3,2,2,1,2,1,3,2,2,2,3,1,5,2,1,3,2,2,2,2,2,2,2,8
R_2tkTpIOQ8TTCrl7,1,SLS-2,1,1,2,4,2,4,2,4,1,3,2,4,2,6,1,4,2,5,4,2,4,3,3,2,4,1,8
R_Qgdv5Q0v8V1EWT7,1,SLS-2,1,1,2,2,1,6,2,3,1,5,1,4,2,5,2,6,1,3,3,2,6,3,3,1,5,1,7
R_2QfjS9k0VE4B3ex,1,SLS-2,1,1,1,6,1,4,2,3,1,3,2,3,1,4,2,3,1,2,4,1,3,1,2,2,5,1,5
R_s5cQxlD0Gsk77X3,1,SLS-3,1,1,1,5,2,3,1,6,1,4,2,6,1,3,2,6,2,5,6,1,5,3,3,2,3,2,8
R_9yiqiVBucOzthpn,1,SLS-3,1,1,2,3,2,5,2,4,1,4,2,2,1,3,1,5,2,3,3,1,4,1,5,3,2,2,7
R_1okg7WsO2yXS0S8,1,SLS-3,1,1,2,5,2,4,2,4,1,4,2,4,2,4,2,4,1,4,4,1,4,2,4,1,4,1,5
R_2E0JLBoRCQIfKLU,1,SLS-3,1,1,2,4,2,5,1,4,1,4,2,4,2,5,2,4,2,5,4,2,4,2,5,1,5,1,6
R_3kjiJ0cYAtlKVsd,1,SLS-3,1,1,1,1,1,1,2,1,2,1,2,4,1,1,2,1,1,1,7,1,5,3,2,2,5,2,8