ResponseId,RecordedDate,StartDate,EndDate,Finished,condition,SLS-2_T-1_Recognitio,SLS-2_T-1_Likert_1,SLS-2_T-2_Recognitio,SLS-2_T-2_Likert_1,SLS-2_T-3_Recognitio,SLS-2_T-3_Likert_1,SLS-2_T-4_Recognitio,SLS-2_T-4_Likert_1,SLS-2_UT-1Recognitio,SLS-2_UT-1_Likert_1,SLS-2_UT-2Recognitio,SLS-2_UT-2_Likert_1,SLS-2_UT-3Recognitio,SLS-2_UT-3_Likert_1,SLS-2_UT-4Recognitio,SLS-2_UT-4_Likert_1,SLS-2_T-1c_Likert_1,CorrectMvt_SLS-2_T-1,SLS-2_T-2c_Likert_1,CorrectMvt_SLS-2_T-2,SLS-2_T-3c_Likert_1,CorrectMvt_SLS-2_T-3,SLS-2_T-4c_Likert_1,CorrectMvt_SLS-2_T-4
Response ID,Recorded Date,Start Date,End Date,Finished,condition,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,"Have you seen these movements, in that order, before?",How confident are you in your response to the previous question?,How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice",How confident are you that your movement was the correct one?,"Did you perform the correct movement?
If so, select Y.
If not, select N. Please describe which movement you performed instead of the correct one.
If you performed a partially correct movement, such as performing the correct motion but on the opposite side, select P. Please explain how your movement was partially correct by comparing your movement to the one in the video. - Selected Choice"
"{""ImportId"":""_recordId""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""finished""}","{""ImportId"":""condition""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID177""}","{""ImportId"":""QID401_1""}","{""ImportId"":""QID180""}","{""ImportId"":""QID402_1""}","{""ImportId"":""QID183""}","{""ImportId"":""QID403_1""}","{""ImportId"":""QID186""}","{""ImportId"":""QID404_1""}","{""ImportId"":""QID189""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID192""}","{""ImportId"":""QID406_1""}","{""ImportId"":""QID195""}","{""ImportId"":""QID407_1""}","{""ImportId"":""QID409_1""}","{""ImportId"":""QID306""}","{""ImportId"":""QID410_1""}","{""ImportId"":""QID499""}","{""ImportId"":""QID411_1""}","{""ImportId"":""QID500""}","{""ImportId"":""QID412_1""}","{""ImportId"":""QID501""}"
R_2z8trZuMtIgGLUg,2020-11-12 18:35:13,2020-11-12 18:06:25,2020-11-12 18:35:12,1,action,2,5,1,6,1,4,2,2,1,3,2,3,2,4,2,7,3,2,3,1,3,1,3,3
R_2tMqFsArs7QaL6s,2020-11-13 14:39:14,2020-11-13 14:11:23,2020-11-13 14:39:14,1,stationary,1,3,2,2,1,2,1,3,2,2,2,3,1,5,2,1,3,2,2,2,2,2,2,2
R_yKEZGkuEZrDu6VH,2020-11-19 19:39:30,2020-11-19 15:39:08,2020-11-19 15:39:15,0,control,,,,,,,,,,,,,,,,,,,,,,,,
R_1CfMMUjm0Ry4mzm,2020-11-19 21:04:40,2020-11-19 20:36:47,2020-11-19 21:04:39,1,control,2,4,2,2,1,5,1,5,2,6,2,6,1,3,2,5,3,2,3,2,1,1,2,1
R_1OvO6Ky2QNIjlsr,2020-11-20 00:34:40,2020-11-19 20:27:49,2020-11-19 20:34:37,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_2tkTpIOQ8TTCrl7,2020-12-01 18:47:33,2020-12-01 18:21:02,2020-12-01 18:47:33,1,stationary,2,4,2,4,2,4,1,3,2,4,2,6,1,4,2,5,4,2,4,3,3,2,4,1
R_9mJ4INQ5YiFMAPT,2020-12-09 19:23:40,2020-12-09 18:54:53,2020-12-09 19:23:39,1,action,1,2,1,5,1,2,1,6,2,2,2,7,1,5,2,3,3,1,3,3,2,2,5,1
R_1CIrdZ9udnvy2Dm,2020-12-13 14:40:57,2020-12-13 14:12:39,2020-12-13 14:40:57,1,control,1,4,2,6,2,3,1,5,2,4,1,5,1,4,2,5,5,1,3,2,4,1,5,1
R_Qgdv5Q0v8V1EWT7,2020-12-13 22:32:55,2020-12-13 21:46:34,2020-12-13 22:32:55,1,stationary,2,2,1,6,2,3,1,5,1,4,2,5,2,6,1,3,3,2,6,3,3,1,5,1
R_eJQhbWSME90sW6l,2020-12-15 12:27:29,2020-12-15 11:56:28,2020-12-15 12:27:29,1,action,2,4,1,7,2,5,1,5,2,7,2,5,2,2,2,6,2,2,6,1,5,1,4,1
R_2QfjS9k0VE4B3ex,2020-12-16 15:53:34,2020-12-16 15:26:43,2020-12-16 15:53:33,1,stationary,1,6,1,4,2,3,1,3,2,3,1,4,2,3,1,2,4,1,3,1,2,2,5,1
R_1jdjzXM6TTxWU15,2020-12-20 02:23:33,2020-12-19 22:05:23,2020-12-19 22:23:30,0,control,,,,,,,1,4,1,3,,,,,,,,,,,,,,
R_2TS04vuRri2Tzy3,2020-12-20 02:23:37,2020-12-19 22:23:30,2020-12-19 22:23:36,0,action,,,,,,,,,,,,,,,,,,,,,,,,
R_eWFeakVIjkmlzgd,2020-12-22 09:39:37,2020-12-22 09:16:24,2020-12-22 09:39:36,1,action,1,6,2,5,2,6,1,5,1,5,1,6,2,5,1,3,6,1,3,1,2,1,5,2
