ResponseId,Finished,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total
R_3g1TPcfJjkHUHxD,1,action,3,1,0,14,18
R_3DbaNhhBNLLYEWM,0,control,0,0,0,0,0
R_1g2zd7zZuVlr0Dq,1,stationary,0,0,0,3,3
R_1pldJdcEsu7L2J0,1,action,0,0,0,11,11
R_3Hp2ipKsSiBvcoa,1,stationary,0,0,0,26,26
R_1omYuTMtnUnuTaq,0,control,0,0,0,0,0
R_2CWDqbCF4i98RT1,1,stationary,0.5,0,0,8,8.5
R_21HZDFVEAo8wjmQ,1,control,0,4,0,7,11
R_1r8q2WcV20ldRRJ,1,action,0,0,2,6,8
R_3PRL47a08LkcgCX,1,control,0,0,0,6,6
R_2CleyaFI8j68tvi,1,action,8,0,0,11,19
R_2QSQMLCoqAbJ4Uy,1,stationary,0,6,0,10,16
R_9XYPYREeHHivfvH,1,action,16,0,0,4,20
R_2v0xgravfprSyZI,1,action,13,0.5,17,13,43.5
R_t07N6Lfvw33eA8h,1,stationary,0,0,0,9,9
R_1i86IcODbMOl1la,0,control,0,0,0,0,0
R_2bJWBEMPtSeRnLf,0,stationary,0,0,0,0,0
R_Tdx8sG0Howph5sd,1,control,0,0,0,7,7
R_V1OHar3ORQoKTw5,1,action,6,0,0,0,6
R_2S8JhegbZRWARIv,1,action,2,0.5,0.5,0,3
R_2dAVdU7Nms7nUmG,1,control,0,3,1,25,29
R_YQDCfe7jPex8XWF,1,stationary,0,0,0,2,2
R_3lp76hgXxNis0LL,1,stationary,25,0,0,17,42
R_2vjiW0FSngfhj5d,1,control,0,0,0,9,9
R_2DYwc2acZoiKh3s,1,action,1,6,9,30,46
R_31iwXySSp82yTYk,1,stationary,0,0,29,27,56
R_1gUsFdfe02quEcu,1,stationary,0.5,0,0,5,5.5
R_T1Vt3EwMDgAgcMx,1,control,3,7,0,1,11
R_3Pvj8Q6KKvHXX4l,1,action,0,0,0,6,6
R_3qVUxZ3dFnQgoGA,1,control,6,0,0,15,21
R_3ekk2Bu9KoVEJPb,1,action,0,0,0,12,12
R_DdvG8NXhELcphLP,1,stationary,0,0,0,0,0
R_1MVWY5oM3zBrCoA,0,stationary,0,0,0,0,0
R_2OIu1IVmxzZpS2V,1,control,0,0,0,28,28
R_1nZvHT20QlYVl4Q,1,action,0,0,1,16,17
R_1EjsU2bOILm1E5T,1,action,0,0,0,0,0
R_1opw5pnx0TGxOuo,0,stationary,0,0,0,0,0
R_uqsAXYlwGWhSiHv,1,control,4,12,0,0,16
R_1roUDxtrbunbHef,1,control,3,0,3,4,10
R_3g7TqAJCZNbZ8JI,0,stationary,0,0,0,0,0
R_3fDWGTsvLeNd7QW,1,control,8,0,7,20,35
R_xFQyjJDDpTHWHx7,1,action,0,5,0,25,30
R_2sXc8GNw7pxVp8Z,1,stationary,0,0,0,20,20
R_a5EQ9M5ffYQuGjv,1,action,0,0,1,0,1
R_1f8XUuPuAijfhk6,1,stationary,42,0,0,0,42
R_2CWGbaGbOXGwRYa,1,control,0,5,0,2,7
R_1LZLbngajm9nA2t,1,stationary,3,0.5,4,18,25.5
R_CjljhdowAYE5QQN,1,action,34.5,0,6,10,50.5
R_2wFg7Miy8OTjtaT,1,action,3,0,9,5,17
R_3Kvahc6B8d3OFpq,1,control,4,0,19,15,38
R_ey5KBdRc5RLiFs5,1,stationary,0,0,6,7,13
R_1lmnsX6B7rrWarZ,1,stationary,0,28,0,0,28
R_2z8trZuMtIgGLUg,1,action,4,0,0,17,21
R_2tMqFsArs7QaL6s,1,stationary,1,46,1,6,54
R_yKEZGkuEZrDu6VH,0,control,0,0,0,0,0
R_1CfMMUjm0Ry4mzm,1,control,46,0,0,3,49
R_1OvO6Ky2QNIjlsr,0,action,0,0,0,0,0
R_2tkTpIOQ8TTCrl7,1,stationary,0,0,0,0,0
R_9mJ4INQ5YiFMAPT,1,action,0,0,8,26,34
R_1CIrdZ9udnvy2Dm,1,control,12,1,0,0,13
R_Qgdv5Q0v8V1EWT7,1,stationary,0,0,0,11,11
R_eJQhbWSME90sW6l,1,action,0,0,10,4,14
R_2QfjS9k0VE4B3ex,1,stationary,0,0,26,26,52
R_1jdjzXM6TTxWU15,0,control,0,0,0,0,0
R_2TS04vuRri2Tzy3,0,action,0,0,0,0,0
R_eWFeakVIjkmlzgd,1,action,2,0,0,0,2
R_2ZBtzm0XhlTomfi,1,control,41,2,0,0,43
R_s5cQxlD0Gsk77X3,1,stationary,1,0,0,17,18
R_z20MsvOUuDVL82t,1,action,0,0,32,6,38
R_9yiqiVBucOzthpn,1,stationary,0,0,8,10,18
R_3NIJpziW517QCZL,1,action,0,0,0,20,20
R_vYs6JfFPEMZX3kl,0,action,0,0,0,0,0
R_1okg7WsO2yXS0S8,1,stationary,15,0,0,2,17
R_p3n0HMAnlWVmkbn,1,control,0,0,0,54,54
R_30ktXzc2zPOw4cC,1,action,0,0,13,10,23
R_2E0JLBoRCQIfKLU,1,stationary,8,0,0,18,26
R_3r0UScEoISswx1u,1,control,0,0,18,51,69
R_1pGvCqnx5M2GLyT,1,action,30,10,0,4,44
R_3kjiJ0cYAtlKVsd,1,stationary,4,0,0,9,13
R_3il2hAL3YJMRHuj,1,control,0,2,15,12,29
R_Y0lC2bURNKQ3rsl,1,action,6,4,4,7,21