ResponseId,Finished,Survey,Statistical_Organization,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,Familiar_Scores,Unfamiliar_Scores,Correct_Trigram_Scores,Familiar_Likert,Unfamiliar_Likert,Total_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores,Mvt_Likert
R_2rkjwQWCsVwRGuY,1,SLS-1,1,stationary,0,0,0,0,0,1,7,1,7,1,5,0,5,1,7,1,7,1,7,1,3,3,4,7,24,24,48,7,2,5,2,5,2,5,1,7,22
R_1MSNeuaT5ao9PaC,1,SLS-1,1,control,4,0,0,3,7,1,2,1,2,1,5,0,3,1,5,1,5,0,3,0,3,3,2,5,12,16,28,3,2,3,1,3,2,5,1,6,14
R_5bxYVYjgXHvZtzr,1,SLS-1,1,control,9,0,0,0,9,1,4,0,5,1,2,1,3,1,2,1,3,1,6,0,6,3,3,6,14,17,31,5,0,5,2,3,1,5,0,3,18
R_2Xcyu1k8au3IJne,1,SLS-2,1,stationary,0,0,0,0,0,1,3,0,2,1,2,1,3,1,2,1,3,0,5,1,1,3,3,6,10,11,21,3,1,2,1,2,1,2,1,4,9
R_22RDcWfUmAZCCbb,1,SLS-2,1,action,2,0,0,14,16,0,4,0,4,0,4,1,3,1,4,1,6,0,4,1,5,1,3,4,15,19,34,4,1,4,0,3,1,4,2,4,15
R_OOSMzJUU74DkL2F,1,SLS-2,1,control,0,0,12,27,39,0,2,1,6,0,3,1,5,0,4,1,5,1,6,0,3,2,2,4,16,18,34,3,1,6,0,3,2,5,2,5,17
R_3fJzX6lUowC9Eqm,1,SLS-2,1,action,0,0,4,0,4,1,6,1,4,0,3,1,3,1,3,0,4,1,3,0,2,3,2,5,16,12,28,4,2,3,2,2,1,5,2,7,14
R_27JBGeyWlu3EFI3,1,SLS-3,1,control,17,0,0,0,17,1,5,0,3,1,6,1,4,1,6,0,3,1,6,1,5,3,3,6,18,20,38,6,2,5,0,3,1,3,1,4,17
R_1gtnRHluySObaEd,1,SLS-3,1,stationary,0,6,4,0,10,0,3,0,5,0,4,1,4,1,2,0,3,0,5,1,3,1,2,3,16,13,29,3,2,4,2,5,0,2,1,5,14
R_4SJVKhER6MUhxNn,1,SLS-3,1,stationary,0,0,12,3,15,0,5,0,4,0,4,1,4,1,4,1,4,1,4,0,4,1,3,4,17,16,33,4,2,4,1,4,2,4,2,7,16
R_1d5XYx82RrqtMGa,1,SLS-3,1,stationary,0,0,2,8,10,0,4,0,5,1,4,1,4,1,4,1,5,1,4,1,5,2,4,6,17,18,35,4,1,4,1,5,2,5,2,6,18
R_1isvn10Ya3STFTi,1,SLS-3,1,control,8,0,10,0,18,1,1,1,1,0,1,0,1,1,4,0,1,1,1,0,1,2,2,4,4,7,11,7,2,5,0,2,1,5,1,4,19
R_27x3rOFJ0mxbfzl,1,SLS-1,1,control,0,0,0,0,0,1,7,1,4,1,5,1,5,1,7,1,5,1,7,0,3,4,3,7,21,22,43,5,3,3,2,4,1,3,2,8,15
R_1Kwq1MUhgnoFENe,1,SLS-1,1,action,0,0,2,5,7,1,5,0,5,0,5,1,6,0,6,0,6,1,7,1,7,2,2,4,21,26,47,5,2,6,2,5,1,5,1,6,21
R_1KqYfSodSCUQVfp,1,SLS-1,1,control,0,0,0,1,1,1,4,1,5,1,5,1,5,0,4,1,3,1,6,1,4,4,3,7,19,17,36,2,1,4,2,5,1,3,2,6,14
R_Toc7KrnXwSl8JsB,1,SLS-1,1,action,0,0,0,17,17,0,2,1,4,1,6,1,3,1,2,1,3,1,6,1,3,3,4,7,15,14,29,5,2,3,1,3,2,2,2,7,13
R_1GZJt7pDpDbHP7P,1,SLS-1,1,stationary,3,0,0,7,10,0,2,0,2,0,3,0,5,0,3,0,2,1,1,1,2,0,2,2,12,8,20,1,3,4,1,2,1,3,3,8,10
R_WpTrLvuQZ0fnN97,1,SLS-1,1,action,0,0,0,29,29,1,5,0,3,1,3,0,3,1,5,1,3,1,7,1,2,2,4,6,14,17,31,2,3,5,2,3,2,3,2,9,13
R_1IaDNqugWs0onDJ,1,SLS-1,1,stationary,0,0,29,34,63,1,6,0,3,1,3,0,3,1,3,0,2,0,5,1,1,2,2,4,15,11,26,3,2,2,2,5,2,3,2,8,13
R_1riYiWF6k8RQCBu,1,SLS-1,1,action,0,0,0,0,0,0,5,0,3,1,3,0,7,1,2,0,5,1,6,0,3,1,2,3,18,16,34,1,1,1,2,3,2,2,2,7,7
R_2Ytzt4geaOLSqOm,1,SLS-1,1,control,0,0,0,0,0,1,5,0,1,0,3,1,5,1,6,0,4,1,7,1,5,2,3,5,14,22,36,7,3,3,3,1,2,5,3,11,16
R_2S67YtQ0u0Nediw,1,SLS-1,1,action,0,3,4,4,11,0,5,0,6,1,5,1,6,0,3,0,5,0,5,1,7,2,1,3,22,20,42,5,1,6,1,6,1,3,3,6,20
R_2y4qyblvZ1LxqjJ,1,SLS-1,1,stationary,17,0,0,21,38,1,3,0,2,1,5,0,2,1,2,1,2,1,4,0,1,2,3,5,12,9,21,2,2,1,3,1,2,1,1,8,5
R_diKlNstAqAVUlGx,1,SLS-1,1,stationary,5,0,3,16,24,1,6,0,4,1,3,1,5,1,7,1,5,1,7,1,5,3,4,7,18,24,42,4,1,4,2,6,2,3,1,6,17
R_1rPkNLCktfEXhR9,1,SLS-1,1,control,18,0,0,0,18,1,7,0,5,0,5,0,5,1,3,0,5,1,6,1,6,1,3,4,22,20,42,7,3,5,2,6,1,3,1,7,21
R_0Bqz3ThCxA96a0F,1,SLS-1,1,action,0,0,0,22,22,1,3,0,5,0,3,0,3,0,2,1,3,1,5,1,3,1,3,4,14,13,27,5,3,3,1,3,2,3,1,7,14
R_25yXqXnTXEfJGgx,1,SLS-1,1,stationary,62,0,0,8,70,1,3,1,4,1,4,1,6,0,6,1,4,1,7,1,5,4,3,7,17,22,39,5,2,4,2,5,2,4,1,7,18
R_2eOm5IYcM6ReLzL,1,SLS-1,1,action,0,0,0.5,0,0.5,1,3,0,4,1,6,0,2,1,7,0,5,1,7,1,3,2,3,5,15,22,37,7,1,6,1,3,2,5,3,7,21
R_6QEugdiR7pfRbR7,1,SLS-1,1,stationary,13,1,2,14,30,0,3,0,3,0,6,0,5,1,6,1,3,1,7,1,5,0,4,4,17,21,38,2,2,3,2,4,2,6,1,7,15
R_32RCguc6SxUOIVY,1,SLS-2,1,action,0,0,0,38,38,1,2,1,5,0,2,1,4,1,4,1,2,1,3,0,2,3,3,6,13,11,24,2,2,3,1,4,2,4,1,6,13
R_3pg88lsRNKZsC2u,1,SLS-2,1,control,0,0,0,7,7,1,5,0,3,1,4,0,6,0,6,1,3,1,6,1,6,2,3,5,18,21,39,3,2,5,1,5,1,6,2,6,19
R_1NlF3wGEg7CjHxt,1,SLS-2,1,action,0.5,0,0,5,5.5,1,4,1,5,1,6,0,3,1,5,1,6,0,5,0,4,3,2,5,18,20,38,4,2,5,3,7,1,3,1,7,19
R_301972JI9hxcbI2,1,SLS-2,1,stationary,4.5,6,1,22,33.5,1,7,1,5,0,3,1,7,0,5,1,5,0,5,0,5,3,1,4,22,20,42,7,1,5,3,5,2,7,1,7,24
R_1EYuvfi1bmW6kQW,1,SLS-2,1,control,0,0,1,8,9,1,7,1,7,1,4,1,7,1,7,1,7,0,3,1,7,4,3,7,25,24,49,7,1,7,1,7,1,7,1,4,28
R_24ee4Pzz0MfRvSt,1,SLS-2,1,stationary,0,0,0,10,10,1,2,1,2,1,2,0,2,0,2,1,2,0,2,1,2,3,2,5,8,8,16,2,2,2,1,2,2,2,2,7,8
R_1dlRMVtlkOHFKUh,1,SLS-2,1,control,0,0,0,8,8,0,5,0,5,0,5,0,5,1,6,1,6,0,4,1,6,0,3,3,20,22,42,1,2,1,2,1,2,1,2,8,4
R_XNX5ZiDTsh5aiw9,1,SLS-2,1,control,0,12,0,34,46,0,2,1,2,0,3,1,2,0,2,1,3,0,2,1,2,2,2,4,9,9,18,3,2,2,1,2,2,6,1,6,13
R_2Qyw1pg2r1Zorut,1,SLS-2,1,stationary,16,0,0,34,50,1,3,1,5,0,3,1,3,1,3,1,3,1,3,0,3,3,3,6,14,12,26,2,1,2,2,5,2,6,1,6,15
R_cSFU8oIxXXpKG3f,1,SLS-2,1,stationary,0,1.5,0,6,7.5,0,4,0,4,0,4,1,4,1,4,1,4,1,4,1,4,1,4,5,16,16,32,4,1,4,1,4,3,4,1,6,16
R_116qdOU3IK0Egpr,1,SLS-2,1,control,0,0,0,10,10,0,5,0,2,1,7,1,6,1,3,0,7,0,6,0,4,2,1,3,20,20,40,5,2,2,2,4,1,6,1,6,17
R_3iPC0UtSkL5wSLd,1,SLS-2,1,stationary,0,0,0,14,14,1,3,0,2,1,3,1,3,0,3,0,5,1,4,1,5,3,2,5,11,17,28,3,1,5,1,3,1,3,1,4,14
R_2RX1w1tljXBbsF5,1,SLS-3,1,control,0,0,0,9,9,1,4,1,2,1,6,1,6,1,5,0,3,0,6,0,5,4,1,5,18,19,37,5,2,3,2,5,2,4,2,8,17
R_1ohG4eAV1OPEjaQ,1,SLS-3,1,action,12,0,2,28,42,0,4,0,5,1,2,0,2,0,3,1,3,0,2,1,6,1,2,3,13,14,27,5,1,3,2,3,3,2,2,8,13
R_ZwxZ6NcCX9IhGgh,1,SLS-3,1,control,16,0,0,0,16,0,4,0,3,0,5,0,5,1,1,1,5,0,4,0,4,0,2,2,17,14,31,3,2,4,2,5,2,6,1,7,18
R_55A6Wc3Ioig7PO1,1,SLS-3,1,control,0,0,8,8,16,0,2,0,2,0,2,1,3,0,2,0,2,0,2,0,3,1,0,1,9,9,18,3,2,3,1,3,2,2,1,6,11
R_3qlFd2JshwMZSN4,1,SLS-3,1,stationary,1.5,6,0,0,7.5,0,4,0,5,0,5,0,5,0,5,1,6,1,5,1,5,0,3,3,19,21,40,4,1,4,1,4,2,4,1,5,16
R_24ADeoWP3McWbyU,1,SLS-3,1,action,0,3,0,6,9,1,5,0,4,0,3,0,3,2,3,0,5,0,5,1,5,1,3,4,15,18,33,5,1,3,2,3,1,6,1,5,17
R_2aKtPsBD5xoat1J,1,SLS-3,1,action,0,0,0,8,8,1,6,1,4,1,5,1,7,1,5,1,5,0,6,1,7,4,3,7,22,23,45,7,1,7,2,6,1,6,1,5,26
R_Xk4nj9EiblUI9oZ,1,SLS-3,1,action,14,0,25,29,68,0,5,1,6,1,3,1,3,0,3,1,3,1,5,0,4,3,2,5,17,15,32,1,2,3,1,5,1,3,3,7,12
R_3oZVIolfnWIc2HD,1,SLS-3,1,control,26,0,17,15,58,1,2,1,5,1,5,1,4,1,2,1,1,1,1,1,1,4,4,8,16,5,21,6,1,5,3,7,1,2,2,7,20
R_1K12yqCwViywoJf,1,SLS-3,1,action,12.16,1,0,0.7,13.86,1,6,1,7,1,7,1,7,1,7,1,6,1,4,0,3,4,3,7,27,20,47,4,1,6,1,7,1,7,1,4,24
R_2a9NhpsBpqKBtzl,1,SLS-3,1,action,0,0,0,21,21,0,3,0,3,1,3,0,3,1,3,0,3,1,3,0,3,1,2,3,12,12,24,4,2,2,3,3,1,2,1,7,11
R_3pr9FErKrYp8DJW,1,SLS-3,1,control,1,5,0.25,7,13.25,1,2,0,2,0,5,1,7,0,6,0,4,1,3,1,2,2,2,4,16,15,31,5,1,3,1,5,1,5,3,6,18
R_yF2aFoUY5DqcvKN,1,SLS-3,1,control,0,7.5,1,6,14.5,2,3,1,2,1,5,1,3,2,5,1,5,1,2,2,6,5,6,11,13,18,31,7,1,3,2,1,2,5,1,6,16
R_3DbaNhhBNLLYEWM,0,RS-1,0,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1omYuTMtnUnuTaq,0,RS-1,0,control,0,0,0,0,0,0,2,0,1,1,2,1,2,1,2,1,2,0,2,1,2,2,3,5,7,8,15,,,,,1,,,,,1
R_1i86IcODbMOl1la,0,RS-2,0,control,0,0,0,0,0,1,5,0,6,0,2,0,5,1,3,0,2,1,5,1,3,1,3,4,18,13,31,2,1,1,1,2,1,,,3,5
R_2bJWBEMPtSeRnLf,0,RS-2,0,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1MVWY5oM3zBrCoA,0,RS-3,0,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1opw5pnx0TGxOuo,0,RS-3,0,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3g7TqAJCZNbZ8JI,0,RS-3,0,stationary,0,0,0,0,0,,,,,,,0,2,1,4,0,5,,,1,4,0,2,2,2,13,15,,,,,,,,,,
R_yKEZGkuEZrDu6VH,0,RS-1,0,control,0,0,0,0,0,0,6,,,,,0,5,,,,,,,,,0,0,0,11,0,11,,,,,,,,,,
R_1OvO6Ky2QNIjlsr,0,RS-1,0,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1jdjzXM6TTxWU15,0,RS-2,0,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2TS04vuRri2Tzy3,0,RS-2,0,action,0,0,0,0,0,,,1,7,0,4,,,0,3,0,7,,,,,1,0,1,11,10,21,,,,,,,,,,
R_vYs6JfFPEMZX3kl,0,RS-2,0,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1n9hXXlqv4725Nx,0,RS-2,0,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_22Dqi8MmKyJQFs0,0,RS-2,0,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_pau7R5HleInyIg1,0,RS-2,0,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3Ic4uQ9YZNVQXGE,0,RS-2,0,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2uU7IH5rL0I0Beu,0,RS-3,0,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3jdnVXeXzCFjRyz,0,RS-3,0,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_25S29Kh6VpaLFqw,0,RS-3,0,stationary,0,8,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3kcfIwWe0K5Ohab,0,SLS-2,1,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1K9cVUEdzyFSf7e,0,SLS-2,1,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1LNbnaPgt7LK42u,0,SLS-3,1,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1fftoTDPgXSVn7m,0,SLS-2,1,control,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cSI0E1AtixLPrwd,0,SLS-2,1,control,0,0,0,0,0,,,,,,,1,4,0,3,,,,,,,1,0,1,4,3,7,,,,,,,,,,
R_1QLTSqvciPHARmS,0,SLS-1,1,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_UuvXDvQe8lxyhfH,0,SLS-2,1,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_PtTsoJVPOfTW2rv,0,SLS-2,1,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1lABrnB3MyGot8y,0,SLS-3,1,action,0,0,0,0,0,0,3,1,2,1,5,1,6,1,1,1,4,1,3,1,2,3,4,7,16,10,26,3,1,1,2,3,1,1,1,5,8
R_3lPvEQtlP7KmTDj,0,SLS-3,1,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_BE1HOd3Ugfx1YKR,0,SLS-3,1,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3qVaJqFhHEw1Q8X,0,SLS-3,1,action,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3L5eGkgfFgPrBfL,0,SLS-3,1,stationary,0,0,0,0,0,1,5,,,,,,,0,6,,,0,3,,,1,0,1,5,9,14,,,,,,,,,,
R_recAzs3jcXnZ7Md,0,SLS-3,1,stationary,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,